drug_1_name,drug_2_name,weight
Anistreplase,Fondaparinux,1
Sotalol,Mepivacaine,1
Tositumomab,Edetic acid,1
Caffeine,Risedronic acid,1
Denosumab,Idelalisib,1
Indapamide,Orciprenaline,1
Loxapine,Nortriptyline,1
Methotrexate,Salicylic acid,1
Methocarbamol,Sodium oxybate,1
Silodosin,Fosaprepitant,1
Tipranavir,Simeprevir,1
Indinavir,Lacosamide,1
Levonorgestrel,Insulin detemir,1
Isoflurophate,Clomipramine,1
Fluvoxamine,Tizanidine,1
Olanzapine,Midazolam,1
Ketorolac,Tacrolimus,1
Triamcinolone,Repaglinide,1
Digoxin,Trichlormethiazide,1
Moclobemide,Isometheptene,1
Mefloquine,Afatinib,1
Dapsone,Hydroxychloroquine,1
Delavirdine,Batimastat,1
Amlodipine,Atracurium besylate,1
Telithromycin,Maraviroc,1
Acetaminophen,Magnesium sulfate,1
Phenprocoumon,Cilostazol,1
Promethazine,Orphenadrine,1
Dexamethasone,Lapatinib,1
Indomethacin,Tacrolimus,1
Nisoldipine,Posaconazole,1
Nefazodone,Simeprevir,1
Tenecteplase,Caffeine,1
Benazepril,Vardenafil,1
Letrozole,Tegafur,1
Carvedilol,Edoxaban,1
Buspirone,Fencamfamin,1
Etonogestrel,Oxcarbazepine,1
Tacrine,Pindolol,1
Chlorpropamide,Sparfloxacin,1
Chlorpropamide,Acebutolol,1
Pentoxifylline,Oxaprozin,1
Haloperidol,Brexpiprazole,1
Fluvoxamine,Theophylline,1
Phentermine,Clenbuterol,1
Lomitapide,Glycerol phenylbutyrate,1
Chlorothiazide,Colesevelam,1
Cimetidine,Roflumilast,1
Doxazosin,St. John's Wort,1
Oxaprozin,Omacetaxine mepesuccinate,1
Alteplase,Flurbiprofen,1
Citalopram,Amitriptyline,1
Colistin,Kanamycin,1
Phenelzine,Lithium cation,1
Tramadol,Rotigotine,1
Reteplase,Apixaban,1
Phenytoin,Ezogabine,1
Fludrocortisone,Posaconazole,1
Mitotane,Etravirine,1
Aldesleukin,Dexamethasone,1
Nelfinavir,Modafinil,1
Sildenafil,Riociguat,1
Phenylpropanolamine,Iobenguane,1
Sufentanil,Selegiline,1
Erythromycin,Prenylamine,1
Topiramate,Scopolamine,1
Labetalol,Lisdexamfetamine,1
Zolpidem,Dantrolene,1
Nafcillin,Nitrendipine,1
Doxepin,Butobarbital,1
Phentermine,Mephentermine,1
Sorafenib,Saquinavir,1
Benazepril,Obinutuzumab,1
Quetiapine,Levomilnacipran,1
Quazepam,Sodium oxybate,1
Dexamethasone,Tesmilifene,1
Nortriptyline,Quetiapine,1
Morphine,Dexchlorpheniramine maleate,1
Amphetamine,Amoxapine,1
Clorazepic acid,Orphenadrine,1
Stanolone,Canagliflozin,1
Paroxetine,Ondansetron,1
Neomycin,Cefpodoxime,1
Pseudoephedrine,Dopamine,1
Ritonavir,Triazolam,1
Azathioprine,Acenocoumarol,1
Ribostamycin,Avibactam,1
Valsartan,Atenolol,1
Vindesine,Metamizole,1
Mefloquine,Idelalisib,1
Cyclosporine,Oxymetholone,1
Tositumomab,Ketoprofen,1
Doxorubicin,Mirabegron,1
Remoxipride,Selegiline,1
Medroxyprogesterone acetate,Mifepristone,1
Ciprofloxacin,Lisinopril,1
Cefpiramide,Probenecid,1
Triamterene,Tacrolimus,1
Baclofen,Alprazolam,1
Linezolid,Desipramine,1
Piroxicam,Colesevelam,1
Sulpiride,Dextroamphetamine,1
Isoprenaline,Armodafinil,1
Phenobarbital,Ibrutinib,1
Aldesleukin,Acebutolol,1
Primidone,Ivacaftor,1
Duloxetine,Moexipril,1
Triazolam,Minocycline,1
Clonidine,Verapamil,1
Methyclothiazide,Diazoxide,1
Pentobarbital,Rifabutin,1
Risperidone,Lumacaftor,1
Procyclidine,Edrophonium,1
Sirolimus,Vildagliptin,1
Sulpiride,Cyproheptadine,1
Dihydrocodeine,Acepromazine,1
Ticlopidine,Risperidone,1
Mepenzolate,Aclidinium,1
Ketorolac,Paroxetine,1
Scopolamine,Tapentadol,1
Citalopram,Metoclopramide,1
Venlafaxine,N/A,1
Bendroflumethiazide,Butobarbital,1
Aripiprazole,Cyproterone acetate,1
Cladribine,Roflumilast,1
Minocycline,Pipotiazine,1
Propranolol,Tranylcypromine,1
Reserpine,Doxylamine,1
Nelfinavir,Etravirine,1
Saquinavir,Insulin human,1
Theophylline,Liothyronine,1
Amitriptyline,Naproxen,1
Phenobarbital,Dronedarone,1
Phenindione,Fondaparinux,1
Torasemide,Stiripentol,1
Warfarin,Sulfinpyrazone,1
Dapsone,Zopiclone,1
Dronabinol,Diazepam,1
Sulpiride,Lithium cation,1
Magnesium sulfate,Maprotiline,1
Miconazole,Gliclazide,1
Reserpine,Labetalol,1
Ropinirole,Levorphanol,1
Insulin glulisine,Cyproterone acetate,1
Megestrol acetate,Insulin aspart,1
Brimonidine,Amiloride,1
Escitalopram,Stiripentol,1
Pimecrolimus,Clofarabine,1
Timolol,Nifedipine,1
Fluoxetine,Deoxycholic acid,1
Desipramine,Moxonidine,1
Dasatinib,Isavuconazonium,1
Phenylephrine,Salmeterol,1
Lansoprazole,Atazanavir,1
Amikacin,Clavulanic acid,1
Oxaliplatin,Sipuleucel-T,1
Fosinopril,Magnesium hydroxide,1
Canakinumab,Certolizumab pegol,1
Octreotide,Dexmedetomidine,1
Entacapone,Hydroxyzine,1
Mexiletine,Etravirine,1
Pentamidine,Luliconazole,1
Trimethoprim,Tranylcypromine,1
Salmeterol,Metamfetamine,1
Zuclopenthixol,Cobicistat,1
Dexmethylphenidate,Aluminum hydroxide,1
Rifampicin,Abiraterone,1
Methadone,Rotigotine,1
Mirtazapine,Teriflunomide,1
Cytarabine,Sipuleucel-T,1
Sulodexide,Vorapaxar,1
Octreotide,Saxagliptin,1
Insulin human,Ciprofloxacin,1
Lipoic acid,Calcium acetate,1
Isradipine,Vardenafil,1
Ramipril,Quinine,1
Midodrine,Dopamine,1
Mirtazapine,Luliconazole,1
Acitretin,Medroxyprogesterone acetate,1
Streptomycin,Cefotetan,1
Tramadol,Hydrocodone,1
Axitinib,Dabrafenib,1
Voriconazole,Dienogest,1
Brimonidine,Maprotiline,1
Oxycodone,Ammonium chloride,1
Isradipine,Clarithromycin,1
Repaglinide,Buserelin,1
Mesoridazine,Maprotiline,1
Linagliptin,Corticotropin,1
Aripiprazole,Vilazodone,1
Paclitaxel,Metamizole,1
Citalopram,Desipramine,1
Zolpidem,Desloratadine,1
Mecamylamine,Colistin,1
Nicardipine,Magnesium oxide,1
Rifabutin,Deferasirox,1
Retapamulin,Darunavir,1
Mephenytoin,Orlistat,1
Amphetamine,Paliperidone,1
Cyclosporine,Hexobarbital,1
Methazolamide,Memantine,1
Benzphetamine,Amisulpride,1
Ranolazine,Simeprevir,1
Dimenhydrinate,Aclidinium,1
Norepinephrine,Dextroamphetamine,1
Tranylcypromine,Pirfenidone,1
Mifepristone,Buserelin,1
Nifedipine,Deferasirox,1
Alteplase,Abciximab,1
Rifampicin,Pazopanib,1
Desmopressin,Aminosalicylic acid,1
Cimetidine,Fosphenytoin,1
Tipranavir,Mequitazine,1
Warfarin,Corticotropin,1
Terazosin,Hexobarbital,1
Neomycin,Cyclacillin,1
Gentamicin,Pivmecillinam,1
Rifapentine,Dienogest,1
Butobarbital,Dapagliflozin,1
Duloxetine,Dipyridamole,1
Trimethoprim,Glyburide,1
Rituximab,Nitroprusside,1
Ketorolac,Probenecid,1
Trimipramine,Paraldehyde,1
Peginterferon alfa-2b,Chlorpheniramine,1
Anakinra,Pomalidomide,1
Tizanidine,Abiraterone,1
Goserelin,Metformin,1
Temazepam,Suvorexant,1
Aminophylline,Mephentermine,1
Treprostinil,Enoxaparin,1
Maprotiline,Tiotropium,1
Fosphenytoin,Tegafur,1
Escitalopram,Molindone,1
Nortriptyline,Mesoridazine,1
Piroxicam,Mifepristone,1
Nefazodone,Idelalisib,1
Ifosfamide,Metamizole,1
Bexarotene,Sunitinib,1
Bortezomib,Carisoprodol,1
Buprenorphine,Ramosetron,1
Levorphanol,Rufinamide,1
Ergoloid mesylate,Metoclopramide,1
Floxuridine,Meloxicam,1
Doxercalciferol,Aluminum hydroxide,1
Tramadol,Stiripentol,1
Neomycin,Cefoxitin,1
Valsartan,Ketorolac,1
Metformin,Tolazamide,1
Fluvoxamine,Molindone,1
Methylphenidate,Amisulpride,1
Nilotinib,Lurasidone,1
Mometasone,Ceritinib,1
Fexofenadine,Betahistine,1
St. John's Wort,Bosutinib,1
Gestodene,Dalteparin,1
Ephedra,Droxidopa,1
Ibrutinib,Idelalisib,1
Dihydrocodeine,Doxofylline,1
Tranylcypromine,Desvenlafaxine,1
Amobarbital,Suvorexant,1
Butalbital,Doxofylline,1
Prednisone,Telaprevir,1
Methazolamide,Levodopa,1
Rifabutin,Regorafenib,1
Paroxetine,Fesoterodine,1
Voriconazole,Ospemifene,1
Saquinavir,Drospirenone,1
Fusidic acid,Regorafenib,1
Chloroquine,Magnesium hydroxide,1
Saquinavir,Tocilizumab,1
Esmolol,Bendroflumethiazide,1
Cetirizine,Rufinamide,1
Diclofenac,Phenprocoumon,1
Primidone,Romidepsin,1
Desmopressin,Dihydrocodeine,1
Ketoprofen,Omacetaxine mepesuccinate,1
Metformin,Norethisterone,1
Dipivefrin,Epinephrine,1
Sertraline,Chlorprothixene,1
Lorazepam,Haloperidol,1
Fluvoxamine,Loxapine,1
Econazole,Acenocoumarol,1
Bumetanide,Insulin detemir,1
Oxaprozin,Collagenase clostridium histolyticum,1
Phendimetrazine,Iobenguane,1
Morphine,Doxepin,1
Metaraminol,Levonordefrin,1
Isoniazid,Fosphenytoin,1
Bortezomib,Dabrafenib,1
Thiopental,Orlistat,1
Tenecteplase,Citric acid,1
Fencamfamin,Dextroamphetamine,1
Omeprazole,Methylphenidate,1
Moxifloxacin,Porfimer sodium,1
Risperidone,Doxepin,1
Clidinium,Ethanol,1
Benzylpenicilloyl polylysine,Cyclizine,1
Estramustine,Roflumilast,1
Macitentan,Palbociclib,1
Mycophenolate mofetil,Cloxacillin,1
Abciximab,Citalopram,1
Nimodipine,Conivaptan,1
Zonisamide,Thalidomide,1
Neomycin,Pivampicillin,1
Clonidine,Thalidomide,1
Simvastatin,Mifepristone,1
Amphetamine,Cyproheptadine,1
Streptokinase,Prasugrel,1
Ethynodiol diacetate,Butobarbital,1
Fondaparinux,Vortioxetine,1
Sorafenib,Amodiaquine,1
Aldesleukin,Sotalol,1
Capromab pendetide,Triamcinolone,1
Glyburide,Arsenic trioxide,1
Pentamidine,Canagliflozin,1
Paclitaxel,Tesmilifene,1
Tacrolimus,Rifampicin,1
Theophylline,Metamfetamine,1
Dofetilide,Mifepristone,1
Lenalidomide,Roflumilast,1
Bortezomib,Ceritinib,1
Insulin glargine,Insulin human,1
Chlorotrianisene,Colesevelam,1
Clozapine,Lomustine,1
Gabapentin,Mianserin,1
Ipratropium,Dobutamine,1
Magnesium sulfate,Minocycline,1
Prochlorperazine,Phendimetrazine,1
Acenocoumarol,Omega-3-acid ethyl esters,1
Ofloxacin,Pirfenidone,1
Prednisone,Deferasirox,1
Hydrocortisone,Rifapentine,1
Tolterodine,Stiripentol,1
Tenofovir disoproxil,Tobramycin,1
Rivaroxaban,Sulodexide,1
Paliperidone,Rasagiline,1
Sulindac,Ethyl biscoumacetate,1
Mifepristone,Simeprevir,1
Timolol,Cobicistat,1
Probenecid,Levofloxacin,1
Natalizumab,Tacrolimus,1
Prucalopride,Cobicistat,1
Loratadine,Lumacaftor,1
Perphenazine,Benzphetamine,1
Chlorpropamide,Pioglitazone,1
Mitotane,Atorvastatin,1
Ergotamine,Itraconazole,1
Quinapril,Sacubitril,1
Bisoprolol,Chlorpropamide,1
Cabergoline,Carteolol,1
Hydroxyzine,Perampanel,1
Ardeparin,Cilazapril,1
Propafenone,Ivabradine,1
Ropinirole,Cetirizine,1
Trimipramine,Molindone,1
Medroxyprogesterone acetate,Aprepitant,1
Nelfinavir,Lumefantrine,1
Doxorubicin,Rifapentine,1
Triptorelin,Corifollitropin alfa,1
Ampicillin,Mycophenolate mofetil,1
Brimonidine,Clomipramine,1
Tacrine,Aclidinium,1
Ticlopidine,Procainamide,1
Lercanidipine,Nafcillin,1
Sulindac,Omacetaxine mepesuccinate,1
Telaprevir,Panobinostat,1
Aprepitant,Cortisone acetate,1
Streptomycin,Cefprozil,1
Mecamylamine,Tetracycline,1
Prednisolone,Phenobarbital,1
Quinine,Carvedilol,1
Pentobarbital,Pramipexole,1
Bexarotene,Pipotiazine,1
Fosphenytoin,Netupitant,1
Amcinonide,Ceritinib,1
Thalidomide,Pimozide,1
Propafenone,Darunavir,1
Methadone,Diazepam,1
Disopyramide,Dabrafenib,1
Clarithromycin,Aripiprazole,1
Ranolazine,Daclatasvir,1
Ponatinib,Ceritinib,1
Ranolazine,Desloratadine,1
Cyclosporine,Atracurium besylate,1
Hyoscyamine,Itopride,1
Diltiazem,Stiripentol,1
Cefditoren,Magnesium hydroxide,1
Insulin glargine,Cyproterone acetate,1
Phentermine,Iobenguane,1
Tolcapone,Magnesium sulfate,1
Pizotifen,Tapentadol,1
Fluconazole,Theophylline,1
Mitotane,Ibrutinib,1
Aprepitant,Praziquantel,1
Cimetidine,Iron Dextran,1
Interferon gamma-1b,Tizanidine,1
Doxylamine,Ethanol,1
Acenocoumarol,Ceftobiprole,1
Risperidone,Nefazodone,1
Hyaluronidase (ovine),Hydroxyzine,1
Levodopa,Clevidipine,1
Torasemide,Nalbuphine,1
Mitotane,Palbociclib,1
Quinidine,Cobicistat,1
Ropivacaine,Abiraterone,1
Saxagliptin,Lurasidone,1
Olmesartan,Tolvaptan,1
Amitriptyline,Fluspirilene,1
Methadone,Chlordiazepoxide,1
Ardeparin,Benazepril,1
Verapamil,Nilotinib,1
Verteporfin,Ciprofloxacin,1
Benzphetamine,Propylhexedrine,1
Protriptyline,Chlorpromazine,1
Paroxetine,Thalidomide,1
Fosinopril,Lithium cation,1
Cimetidine,Nitrendipine,1
Irbesartan,Canagliflozin,1
Fentanyl,Dronedarone,1
Buprenorphine,Alvimopan,1
Clarithromycin,Prucalopride,1
Fluspirilene,Tedizolid phosphate,1
Insulin lispro,Pioglitazone,1
Fludrocortisone,Ethinylestradiol,1
Esomeprazole,Itraconazole,1
Butorphanol,Naltrexone,1
Oxazepam,Perampanel,1
Phenelzine,Desvenlafaxine,1
Doxycycline,Butobarbital,1
Meloxicam,Netilmicin,1
Risperidone,Dinutuximab,1
Lovastatin,Daclatasvir,1
Insulin human,Dienogest,1
Fluvoxamine,Citric acid,1
Maprotiline,Rufinamide,1
Prochlorperazine,Mirabegron,1
Verteporfin,Norfloxacin,1
Candesartan cilexetil,Molsidomine,1
Glimepiride,Dabrafenib,1
Leuprolide,Bedaquiline,1
Goserelin,Ranolazine,1
Trimethoprim,Insulin aspart,1
Chlorthalidone,Duloxetine,1
Pimozide,Clarithromycin,1
Fosphenytoin,Crizotinib,1
Promazine,Porfimer sodium,1
Sulfisoxazole,Bexarotene,1
Thioridazine,Aclidinium,1
Doxepin,Moxonidine,1
Testosterone,Dexamethasone,1
Cyclosporine,Ritonavir,1
Dapsone,Tocilizumab,1
Trimethoprim,Stanolone,1
Icosapent,Phenindione,1
Azelastine,Ziconotide,1
Flurazepam,Mifepristone,1
Metamfetamine,Propylhexedrine,1
Morphine,Bendroflumethiazide,1
Theophylline,Carbamazepine,1
Tramadol,N/A,1
Oxaprozin,Aliskiren,1
Calcium carbonate,Strontium ranelate,1
Rivaroxaban,Cangrelor,1
Nicardipine,Magnesium hydroxide,1
Nicardipine,Calcium citrate,1
Amitriptyline,Brimonidine,1
Daunorubicin,Metamizole,1
Morphine,Cyclopentolate,1
Modafinil,Palbociclib,1
Dasatinib,Fesoterodine,1
Nilotinib,Telaprevir,1
Adalimumab,Tacrolimus,1
Cisapride,Nifedipine,1
Chlorotrianisene,Corticotropin,1
Perampanel,Pomalidomide,1
Calcium acetate,Bepridil,1
Carbamazepine,St. John's Wort,1
Dicoumarol,Cefadroxil,1
Pentoxifylline,Escitalopram,1
Warfarin,Cyclacillin,1
Paroxetine,Sulfamethoxazole,1
Paroxetine,Ibrutinib,1
Liothyronine,Colestipol,1
Morphine,Indapamide,1
Doxazosin,Nicardipine,1
Mercaptopurine,Acenocoumarol,1
Diazoxide,Gliclazide,1
Phenytoin,Topotecan,1
Theophylline,Methohexital,1
Tolcapone,Paraldehyde,1
Chlorpropamide,Corticotropin,1
Methazolamide,Salicylic acid,1
Paliperidone,Milnacipran,1
Imipramine,Flupentixol,1
Nilotinib,Brentuximab vedotin,1
Nisoldipine,Obinutuzumab,1
Trichlormethiazide,Flavoxate,1
Fluconazole,Flurazepam,1
Benzquinamide,Doxepin,1
Doxylamine,Benzylpenicilloyl polylysine,1
Triamterene,Benazepril,1
Dydrogesterone,Desirudin,1
Mecamylamine,Heptabarbital,1
Clodronic acid,Aluminum hydroxide,1
Clozapine,Maprotiline,1
Trichlormethiazide,Moclobemide,1
Astemizole,Boceprevir,1
Desloratadine,Tiotropium,1
Irinotecan,Metamizole,1
Dabrafenib,Eliglustat,1
Telmisartan,Levodopa,1
Citalopram,Nelfinavir,1
Topiramate,Dronabinol,1
Etravirine,Sonidegib,1
Colchicine,Crizotinib,1
Pentamidine,Gliquidone,1
Clonidine,Magnesium sulfate,1
Hydrocodone,Idelalisib,1
Venlafaxine,Aspirin,1
Cilostazol,Ivacaftor,1
Zonisamide,Methotrimeprazine,1
Phenytoin,Mestranol,1
Theophylline,Phenmetrazine,1
Mitotane,Crizotinib,1
Topiramate,Doxepin,1
Hyaluronidase (ovine),Dopamine,1
Nicardipine,Bepridil,1
Mifepristone,Domperidone,1
Rifampicin,Etravirine,1
Amoxicillin,Streptomycin,1
Metipranolol,Lacosamide,1
Quinidine,Amiodarone,1
Fludrocortisone,Boceprevir,1
Dobutamine,Ephedrine,1
Trabectedin,Tocilizumab,1
Sevoflurane,Ephedra,1
Ethotoin,Metyrosine,1
Phenindione,Vorapaxar,1
Thioridazine,Eliglustat,1
Moexipril,Diazoxide,1
Bacitracin,Streptomycin,1
Dicloxacillin,Aripiprazole,1
Clarithromycin,Batimastat,1
Valsartan,Canagliflozin,1
Ciprofloxacin,Enalapril,1
Pranlukast,Boceprevir,1
Triamterene,Sufentanil,1
Erythromycin,Zafirlukast,1
Carbamazepine,Orlistat,1
Citalopram,Pentamidine,1
Tenecteplase,Escitalopram,1
Rivastigmine,Acebutolol,1
Pimecrolimus,Fludrocortisone,1
Urokinase,Nabumetone,1
Etoposide,Sipuleucel-T,1
Bexarotene,Tamsulosin,1
Leucovorin,Tegafur,1
Nilotinib,Luliconazole,1
Pamidronic acid,Sunitinib,1
Clonidine,Paroxetine,1
Demeclocycline,Pivampicillin,1
Methohexital,Isosorbide dinitrate,1
Amphetamine,Dexbrompheniramine,1
Benzphetamine,Netupitant,1
Tobramycin,Ceftibuten,1
Nelfinavir,Escitalopram,1
Nelfinavir,Ivabradine,1
Methotrimeprazine,Calcium carbonate,1
Calcium carbonate,Rilpivirine,1
Busulfan,Propacetamol,1
Acetaminophen,Propacetamol,1
Sulfisoxazole,Lacosamide,1
Flunisolide,Bosentan,1
Atomoxetine,Dextroamphetamine,1
Treprostinil,Salicylic acid,1
Phenylephrine,Pseudoephedrine,1
Prazosin,Heptabarbital,1
Etravirine,Ibrutinib,1
Chlorpromazine,Mirabegron,1
Minocycline,Ticarcillin,1
Tetrabenazine,Rufinamide,1
Thioridazine,Isoniazid,1
Itraconazole,Tasimelteon,1
Amphetamine,Amisulpride,1
Nitrendipine,Magnesium citrate,1
Nelfinavir,Nizatidine,1
Imipramine,Mirabegron,1
Alogliptin,Temsirolimus,1
Carmustine,Sipuleucel-T,1
Simvastatin,Boceprevir,1
Griseofulvin,Acenocoumarol,1
Amitriptyline,Rufinamide,1
Ibritumomab tiuxetan,Enoxaparin,1
Dicoumarol,Capecitabine,1
Mirtazapine,Deferasirox,1
Sulpiride,Bumetanide,1
Dipivefrin,Iobenguane,1
Tamoxifen,Tocilizumab,1
Tobramycin,Atracurium besylate,1
Insulin glargine,Insulin detemir,1
Diclofenac,Neomycin,1
Methylprednisolone,Ceritinib,1
Magnesium sulfate,Dimenhydrinate,1
Posaconazole,Iloperidone,1
Methohexital,Acetazolamide,1
Telaprevir,Olaparib,1
Bromocriptine,Ivacaftor,1
Erythromycin,Imatinib,1
Zonisamide,St. John's Wort,1
Ketorolac,Flurbiprofen,1
Saquinavir,Colchicine,1
Norgestimate,Eslicarbazepine acetate,1
Zopiclone,Dronedarone,1
Probenecid,Azidocillin,1
Darunavir,Insulin glulisine,1
Midodrine,Formoterol,1
Alteplase,Nadroparin,1
Aspirin,Sitagliptin,1
Demeclocycline,Azlocillin,1
Estradiol,Enoxaparin,1
Darifenacin,Ivacaftor,1
Hydrocodone,Pimozide,1
Acenocoumarol,Icosapent ethyl,1
Halazepam,gamma-Hydroxybutyric acid,1
Acetohexamide,Methotrimeprazine,1
Disopyramide,Pindolol,1
Cathinone,Clofedanol,1
Digoxin,Propranolol,1
Butabarbital,Spironolactone,1
Triamterene,Molsidomine,1
Leflunomide,Obinutuzumab,1
Saquinavir,Trabectedin,1
Halofantrine,Isavuconazonium,1
Amikacin,Pancuronium,1
Furosemide,Sufentanil,1
Clarithromycin,Rifaximin,1
Calcitriol,Magnesium chloride,1
Levothyroxine,Polaprezinc,1
Nortriptyline,Cinacalcet,1
Nisoldipine,Yohimbine,1
Theophylline,Febuxostat,1
Fludrocortisone,Insulin detemir,1
Buspirone,Perampanel,1
Perphenazine,Azelastine,1
Digoxin,Acebutolol,1
Ramipril,Butabarbital,1
Axitinib,Idelalisib,1
Alfuzosin,Mecamylamine,1
Doxylamine,Iloperidone,1
Quinidine,Lurasidone,1
Phenelzine,Rotigotine,1
Almotriptan,Idelalisib,1
Moclobemide,Methylene blue,1
Tacrine,Prochlorperazine,1
Buprenorphine,St. John's Wort,1
Carbamazepine,Crizotinib,1
Ridogrel,Tinzaparin,1
Voriconazole,Rabeprazole,1
Sulfamethoxazole,Pralatrexate,1
Tioguanine,Olsalazine,1
Leflunomide,Idelalisib,1
Progesterone,Saquinavir,1
Clodronic acid,Arbekacin,1
Selegiline,Methylene blue,1
Alfuzosin,Felodipine,1
Methotrimeprazine,Sodium oxybate,1
Brimonidine,Etacrynic acid,1
Isradipine,Brimonidine,1
Metolazone,Fentanyl,1
Reteplase,Ticagrelor,1
Thalidomide,Ketamine,1
Acenocoumarol,Propacetamol,1
Panobinostat,Palbociclib,1
Sulfadiazine,Dronabinol,1
Capromab pendetide,Cyproterone acetate,1
Venlafaxine,Dipivefrin,1
Methylphenidate,Metaraminol,1
Rivaroxaban,Dabigatran etexilate,1
Isoflurane,Rotigotine,1
Calcitriol,Danazol,1
Insulin lispro,Pramlintide,1
Pravastatin,Daclatasvir,1
Testosterone,Nateglinide,1
Doxylamine,Dantrolene,1
Trandolapril,Ciprofloxacin,1
Acetazolamide,Quinidine,1
Desmopressin,Hydromorphone,1
Tacrolimus,Methylprednisolone,1
Insulin aspart,Dabrafenib,1
Solifenacin,Deferasirox,1
Pyridoxine,Phenobarbital,1
Indinavir,Irinotecan,1
Felbamate,Deferasirox,1
Estradiol,Edetic acid,1
Triamcinolone,Testosterone,1
Formoterol,Trichlormethiazide,1
Dexamethasone,Roflumilast,1
Cetirizine,Doxylamine,1
Sertraline,Enoxaparin,1
Fosinopril,Yohimbine,1
Doxazosin,Primidone,1
Amiodarone,Ceritinib,1
Treprostinil,Acebutolol,1
Nitroprusside,Lamotrigine,1
Dasatinib,Dalteparin,1
Hydrocodone,Suvorexant,1
Clozapine,Mirtazapine,1
Lomitapide,Crizotinib,1
Trihexyphenidyl,Dronabinol,1
Alfentanil,Conivaptan,1
Flunisolide,Tocilizumab,1
Ritodrine,Ephedrine,1
Testosterone,Tolazamide,1
Ethosuximide,Dabrafenib,1
Toremifene,Fosphenytoin,1
Modafinil,Doxofylline,1
Morphine,Tienilic acid,1
Zidovudine,Batimastat,1
Tirofiban,Ethyl biscoumacetate,1
Atazanavir,Brexpiprazole,1
Urokinase,Ticagrelor,1
Halofantrine,Fosamprenavir,1
Fosphenytoin,Apixaban,1
Oxymetazoline,Aminophylline,1
Labetalol,Lacosamide,1
Tositumomab,Fondaparinux,1
Tretinoin,Dabrafenib,1
Vardenafil,Bumetanide,1
Thalidomide,Methsuximide,1
Alprazolam,Tocilizumab,1
Minocycline,Ezogabine,1
Methylphenidate,Aliskiren,1
Nisoldipine,Fosaprepitant,1
Nicotine,Tranylcypromine,1
Oxycodone,Isocarboxazid,1
Saquinavir,Saxagliptin,1
Pindolol,Amiodarone,1
Argatroban,Phenindione,1
Leuprolide,Domperidone,1
Metyrosine,Tiagabine,1
Aprepitant,Zopiclone,1
Indinavir,Barnidipine,1
Tranylcypromine,Indapamide,1
Clozapine,Bosutinib,1
Mefloquine,Ivacaftor,1
Minocycline,Nitrazepam,1
Carbamazepine,Prednisone,1
Everolimus,Ibrutinib,1
Nefazodone,Tasimelteon,1
Zuclopenthixol,Perampanel,1
Nafarelin,Choline C 11,1
Primidone,Vortioxetine,1
Liothyronine,Carbamazepine,1
Quinine,Insulin detemir,1
Torasemide,Nabumetone,1
Darunavir,Panobinostat,1
Tolcapone,Tranylcypromine,1
Paliperidone,Vortioxetine,1
Deferasirox,Elvitegravir,1
Streptokinase,Clopidogrel,1
Benzphetamine,Salbutamol,1
Quetiapine,Idelalisib,1
Amphetamine,Fluspirilene,1
Ibuprofen,Salicylic acid,1
Tolmetin,Dalteparin,1
Isradipine,Tocilizumab,1
Betamethasone,Glyburide,1
Torasemide,Probenecid,1
Mycophenolic acid,Calcium carbonate,1
Rotigotine,Perampanel,1
Clemastine,Trichlormethiazide,1
Penbutolol,Fingolimod,1
Benzphetamine,Naphazoline,1
Fluvoxamine,Isocarboxazid,1
Doxylamine,Carisoprodol,1
Phenelzine,Dulaglutide,1
Cabazitaxel,Dabrafenib,1
Ivabradine,Stiripentol,1
Clozapine,Vildagliptin,1
Estradiol,Deferasirox,1
Mepivacaine,Nebivolol,1
Pazopanib,Sipuleucel-T,1
Ethynodiol diacetate,Insulin glulisine,1
Tipranavir,Cangrelor,1
Pegvisomant,Pentazocine,1
Dexamethasone,Cobicistat,1
Clozapine,Ixabepilone,1
Bupropion,Bromocriptine,1
Flunisolide,Furosemide,1
Tamoxifen,Fusidic acid,1
Pimozide,Ticagrelor,1
Acetohexamide,Chlorothiazide,1
Zidovudine,Amodiaquine,1
Felbamate,Paraldehyde,1
Escitalopram,N/A,1
Moclobemide,Aripiprazole,1
Rituximab,Captopril,1
Fluconazole,Doxorubicin,1
Telaprevir,Idelalisib,1
Goserelin,Ciprofloxacin,1
Methohexital,Norethisterone,1
Ritonavir,Cabozantinib,1
Triflupromazine,Selegiline,1
Dabrafenib,Insulin human,1
Lorazepam,Carbinoxamine,1
Moclobemide,Bezafibrate,1
Fluoxetine,Sulodexide,1
Reserpine,Tetrabenazine,1
Cyclopentolate,Eluxadoline,1
Methylprednisolone,Enzalutamide,1
Hydroxyzine,Paroxetine,1
Cinacalcet,Dasatinib,1
Methyclothiazide,Heptabarbital,1
Propofol,Hydrocodone,1
Pentobarbital,Rufinamide,1
Flurbiprofen,Arbekacin,1
Nelfinavir,Buspirone,1
Etodolac,Colesevelam,1
Domperidone,Dronedarone,1
Ketoconazole,Lurasidone,1
Famotidine,Ledipasvir,1
Terazosin,Nicorandil,1
Ceftazidime,Framycetin,1
Human immunoglobulin G,Estrone sulfate,1
Telmisartan,Obinutuzumab,1
Olanzapine,Triazolam,1
Rocuronium,Gentamicin,1
Olanzapine,Dextromethorphan,1
Aripiprazole,Tedizolid phosphate,1
